2016-09-03 15:23:33,704 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.studycafe:studyCafe:1.0.0-BUILD-SNAPSHOT @ /Users/gaeunlee/Documents/baby/studyCafe/pom.xml.
2016-09-03 15:24:11,249 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-03 15:24:11,305 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 9 resources
2016-09-03 15:24:11,333 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-03 15:24:11,333 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/gaeunlee/Documents/baby/studyCafe/src/test/resources
2016-09-03 16:07:50,441 [Worker-37] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.studycafe:studyCafe:1.0.0-BUILD-SNAPSHOT @ /Users/gaeunlee/Documents/baby/studyCafe/pom.xml.
2016-09-03 16:07:55,581 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-03 16:07:55,621 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 9 resources
2016-09-03 16:07:55,706 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-03 16:07:55,707 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/gaeunlee/Documents/baby/studyCafe/src/test/resources
2016-09-03 16:08:17,890 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-03 16:08:17,933 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 9 resources
2016-09-03 16:08:17,942 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-03 16:08:17,943 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/gaeunlee/Documents/baby/studyCafe/src/test/resources
2016-09-07 13:18:24,585 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-07 13:18:24,703 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 9 resources
2016-09-07 13:18:24,738 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-07 13:18:24,738 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/gaeunlee/Documents/baby/studyCafe/src/test/resources
